Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,Matches
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,Matches
10,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,Matches
11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,3,1,0,1,2,0,0,,0,1,0,1,0,3,4,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1,Matches
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0,Matches
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,Matches
19,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2,0,Matches
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,Matches
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0,Matches
24,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1,Matches
26,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0,Matches
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1,Matches
28,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
29,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0,Matches
30,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0,Matches
31,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1,Matches
32,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
33,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
34,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0,Matches
35,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0,Matches
