Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,Matches
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,Matches
10,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,14,0.90,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,12,0.47,9,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0,Matches
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,1,15.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0,Matches
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,2,1.73,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,10,0.56,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,25,2.46,13,1,3,2,6,0,2,0.20,2,0,0,0,0,0,Matches
24,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,11,0.80,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0,Matches
26,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,52,5.22,39,0,6,3,4,0,9,0.90,5,0,2,1,1,0,Matches
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0,Matches
28,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,9,3.40,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,40,1.61,32,2,2,2,2,0,1,0.04,1,0,0,0,0,0,Matches
