Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,Matches
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,Matches
10,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Matches
11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5,Matches
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20,Matches
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,Matches
19,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,Matches
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,Matches
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,Matches
24,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5,Matches
26,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10,Matches
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14,Matches
28,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
29,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,Matches
30,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17,Matches
31,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11,Matches
32,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,Matches
33,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
34,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,Matches
35,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35,Matches
38,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
