Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,90s_defensive,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,90s_gsc,SCA,SCA90,PassLive,PassDead,TO,Sh_gsc,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld_misc,Off,Crs,Int_misc,TklW_misc,PKwon,PKcon,OG,Recov,Won,Lost_misc,Won%,90s_passing,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing,xAG_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_passing,90s_passing_types,Att_passing_types,Live,Dead,FK,TB,Sw,Crs_passing_types,TI,CK,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,MP_playing_time,Min_playing_time,Mn/MP,Min%,90s_playing_time,Starts_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,90s_possession,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC_possession,1/3_possession,CPA,Mis,Dis,Rec,PrgR_possession,90s_shooting,Gls_shooting,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23.0,2000.0,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,43,26,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,Matches,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,13.7,23.0,1.68,16.0,4.0,0.0,0.0,3.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,13.7,1.0,0.0,0.0,12.0,26.0,2.0,13.0,8.0,19.0,0.0,1.0,0.0,75.0,5.0,11.0,31.3,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,0.2,7,25,13,2,43,13.7,581.0,453.0,127.0,11.0,2.0,3.0,13.0,116.0,0.0,0.0,0.0,0.0,450.0,1.0,23.0,20.0,1237.0,62.0,36.2,13.7,13.0,85.0,9.0,7.0,19.0,5.0,0.8,12.0,34.0,-22.0,-1.6,-1.97,14.2,27.1,-12.8,-0.94,-1.37,13.7,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,13.7,0.0,2.0,0.0,0.0,0.15,0.0,0.0,,23.9,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22.0,2000.0,30,14,1267,14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,Matches,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,14.1,53.0,3.76,41.0,1.0,8.0,3.0,0.0,0.0,8.0,0.57,6.0,0.0,2.0,0.0,0.0,0.0,14.1,3.0,1.0,1.0,15.0,25.0,5.0,22.0,2.0,18.0,0.0,0.0,0.0,88.0,13.0,16.0,44.8,14.1,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,0.1,22,30,14,3,56,14.1,472.0,439.0,29.0,3.0,5.0,1.0,22.0,12.0,6.0,2.0,3.0,0.0,365.0,4.0,21.0,30.0,1267.0,42.0,41.4,14.1,14.0,68.0,2.0,16.0,20.0,2.0,1.07,17.0,23.0,-6.0,-0.43,0.53,15.4,21.2,-5.9,-0.42,-0.19,14.1,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,14.1,2.0,18.0,7.0,38.9,1.28,0.5,0.11,0.29,18.4,0.0,0.0,0.0,2.0,2.0,0.11,0.0,0.0
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19.0,2003.0,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,Matches,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,1.1,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0,1.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,0.9,1,4,2,0,5,1.1,50.0,48.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,7.0,101.0,14.0,3.3,1.1,1.0,45.0,0.0,6.0,9.0,7.0,0.86,2.0,2.0,0.0,0.0,-0.03,1.1,2.6,-1.5,-1.3,-1.16,1.1,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,1.1,0.0,2.0,2.0,100.0,1.78,1.78,0.0,0.0,15.1,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17.0,2006.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.1,0.0,0.0,,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,22.5,22.21,0.2,0.0,0.2,4.03,3.46,0.0,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35.0,1987.0,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,Matches,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,30.9,24.0,0.78,19.0,1.0,0.0,3.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,30.9,5.0,0.0,0.0,26.0,12.0,0.0,3.0,39.0,35.0,0.0,0.0,1.0,149.0,61.0,37.0,62.2,30.9,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,30.9,1836.0,1650.0,178.0,75.0,2.0,13.0,3.0,29.0,0.0,0.0,0.0,0.0,1552.0,8.0,20.0,31.0,2781.0,90.0,90.9,30.9,31.0,90.0,30.0,0.0,,0.0,1.29,37.0,46.0,-9.0,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97,30.9,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,30.9,4.0,21.0,7.0,33.3,0.68,0.23,0.14,0.43,15.0,0.0,1.0,1.0,3.4,2.6,0.13,0.6,0.4
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23.0,2000.0,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,16.9,27.0,1.6,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,16.9,2.0,0.0,0.0,34.0,16.0,0.0,3.0,12.0,14.0,0.0,3.0,0.0,89.0,2.0,7.0,22.2,16.9,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,16.9,895.0,875.0,18.0,17.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,796.0,2.0,17.0,27.0,1519.0,56.0,49.6,16.9,17.0,81.0,11.0,10.0,15.0,4.0,1.74,20.0,18.0,2.0,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39,16.9,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,16.9,0.0,5.0,0.0,0.0,0.3,0.0,0.0,,21.6,0.0,0.0,0.0,0.8,0.8,0.17,-0.8,-0.8
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,40.0,2.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,2.0,79.0,75.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,180.0,90.0,5.3,2.0,2.0,90.0,2.0,0.0,,3.0,0.0,1.0,3.0,-2.0,-1.0,-0.72,1.2,2.5,-1.3,-0.67,-0.48,2.0,87,4,37,49,1,1,87,0,0,,0,,47,326,183,0,0,0,1,1,54,0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30.0,1993.0,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.1,3.3,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,Matches,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,31.8,81.0,2.55,67.0,3.0,2.0,1.0,2.0,6.0,5.0,0.16,3.0,0.0,1.0,0.0,0.0,1.0,31.8,4.0,0.0,0.0,36.0,36.0,1.0,34.0,61.0,52.0,0.0,0.0,0.0,226.0,15.0,14.0,51.7,31.8,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.1,1.9,-1.1,30,188,23,3,194,31.8,1836.0,1743.0,88.0,68.0,6.0,13.0,34.0,14.0,0.0,0.0,0.0,0.0,1551.0,5.0,25.0,33.0,2860.0,87.0,93.5,31.8,32.0,89.0,29.0,1.0,23.0,0.0,0.88,41.0,59.0,-18.0,-0.57,1.68,34.8,50.2,-15.4,-0.49,0.37,31.8,2165,105,553,1289,349,10,2165,65,44,67.7,18,27.7,1650,8705,3885,38,49,3,32,30,1503,51,31.8,2.0,26.0,11.0,42.3,0.82,0.35,0.08,0.18,26.5,0.0,0.0,0.0,1.1,1.1,0.04,0.9,0.9
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20.0,2003.0,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,Matches,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,11.6,38.0,3.28,30.0,0.0,5.0,2.0,1.0,0.0,2.0,0.17,0.0,0.0,1.0,0.0,1.0,0.0,11.6,1.0,0.0,0.0,10.0,13.0,6.0,7.0,3.0,4.0,1.0,0.0,0.0,39.0,15.0,27.0,35.7,11.6,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,11.6,231.0,218.0,12.0,0.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,162.0,1.0,11.0,22.0,1044.0,47.0,34.1,11.6,12.0,72.0,1.0,10.0,18.0,5.0,0.95,11.0,17.0,-6.0,-0.52,0.33,14.9,15.5,-0.6,-0.05,0.61,11.6,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,11.6,5.0,42.0,19.0,45.2,3.62,1.64,0.12,0.26,17.4,0.0,0.0,0.0,3.8,3.8,0.09,1.2,1.2
10,Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,Matches,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,15.6,14.0,0.9,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,3.0,0.0,0.0,16.0,2.0,2.0,26.0,15.0,19.0,0.0,1.0,0.0,79.0,14.0,10.0,58.3,15.6,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,15.6,797.0,628.0,165.0,7.0,0.0,3.0,26.0,158.0,0.0,0.0,0.0,0.0,615.0,4.0,23.0,23.0,1400.0,61.0,40.9,15.6,15.0,82.0,12.0,8.0,22.0,10.0,1.61,20.0,20.0,0.0,0.0,-0.13,17.2,27.2,-9.9,-0.64,-0.8,15.6,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,15.6,0.0,4.0,0.0,0.0,0.26,0.0,0.0,,15.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
