Nom du joueur,Équipe,Poste,Tacles réussis/90,Interceptions/90,Dégagements/90,Blocs/90,Fautes/90,Cartons jaunes/90,Passes progressives/90,Conduites progressives/90
Aaron Cresswell,West Ham,"DF,FW",0.4128440366972477,0.6192660550458716,1.444954128440367,1.0321100917431194,0.4128440366972477,0.2064220183486238,5.366972477064221,0.8256880733944955
Aaron Hickey,Brentford,DF,1.1360448807854138,0.3786816269284712,1.262272089761571,0.8835904628330995,1.262272089761571,0.6311360448807855,2.6507713884992987,1.1360448807854138
Aaron Wan-Bissaka,Manchester Utd,DF,1.2640449438202246,2.0730337078651684,3.438202247191011,1.4662921348314606,0.8595505617977528,0.2022471910112359,3.893258426966292,1.5168539325842696
Aarón Martín,Genoa,DF,0.6540697674418604,0.5886627906976745,0.9811046511627908,0.7848837209302325,1.504360465116279,0.2616279069767442,2.2892441860465116,1.8313953488372097
Abakar Sylla,Strasbourg,DF,1.1551339285714286,1.3058035714285714,3.515625,2.0089285714285716,1.5066964285714286,0.2008928571428571,3.616071428571429,0.4017857142857142
Abdel Abqar,Alavés,DF,0.7396193771626297,0.8953287197231834,4.476643598615917,1.2067474048442908,1.2846020761245676,0.3892733564013841,1.907439446366782,0.2724913494809688
Abdoul Koné,Reims,DF,3.264248704663212,0.932642487046632,4.196891191709844,0.932642487046632,0.932642487046632,0.466321243523316,2.33160621761658,1.3989637305699485
Abdukodir Khusanov,Lens,DF,1.334981458590853,1.446229913473424,3.559950556242274,1.446229913473424,1.0012360939431395,0.5562422744128553,2.5587144622991347,0.5562422744128553
Abdul Mumin,Rayo Vallecano,DF,0.5312868949232585,1.168831168831169,4.35655253837072,1.4344746162927982,0.7969303423848879,0.2656434474616292,2.018890200708382,0.3187721369539551
Abner,Betis,DF,1.2214285714285713,0.9642857142857144,3.9857142857142858,1.4785714285714284,1.0285714285714285,0.1928571428571428,2.121428571428571,0.9
Achraf Hakimi,Paris S-G,DF,0.8850931677018634,0.5590062111801242,1.3043478260869563,1.3043478260869563,1.0248447204968945,0.139751552795031,10.15527950310559,3.9130434782608696
Adam Marušić,Lazio,DF,0.9,0.8419354838709678,1.829032258064516,0.7838709677419354,0.6967741935483871,0.0870967741935483,3.425806451612903,1.0161290322580645
Adam Masina,Udinese,DF,0.0,0.1654411764705882,0.4136029411764706,0.1654411764705882,0.2481617647058823,0.1654411764705882,0.0827205882352941,0.0
Adam Obert,Cagliari,DF,0.8607863974495219,2.008501594048884,3.9213602550478215,1.2433581296493093,1.339001062699256,0.0956429330499468,3.5387885228480336,1.339001062699256
Adam Smith,Bournemouth,DF,0.9627906976744186,0.8790697674418604,2.5953488372093023,1.172093023255814,1.255813953488372,0.2511627906976744,3.7255813953488377,1.0046511627906978
Adam Webster,Brighton,DF,0.944055944055944,1.2587412587412588,3.3828671328671325,1.2587412587412588,0.7080419580419581,0.1573426573426573,6.293706293706294,1.2587412587412588
Adrien Tameze,Torino,"DF,MF",0.6710158434296365,1.9711090400745572,1.048462255358807,1.0065237651444547,0.7968313140726934,0.2516309412861137,3.7744641192917054,0.9226467847157503
Adrien Truffert,Rennes,DF,0.8811188811188811,0.7972027972027973,2.055944055944056,1.3006993006993008,1.048951048951049,0.2517482517482518,4.111888111888112,2.1398601398601396
Adrià Altimira,Villarreal,"DF,MF",0.8129032258064517,0.5806451612903226,2.0903225806451613,2.0903225806451613,1.3935483870967742,0.3483870967741935,3.3677419354838714,1.1612903225806452
Adrià Pedrosa,Sevilla,DF,1.3348545350827152,0.7701083856246435,2.7723901882487167,1.3348545350827152,0.3080433542498574,0.0513405590416428,3.1317741015402167,2.3616657159155734
Ahmed Touba,Lecce,DF,1.2996389891696751,2.2743682310469313,6.498194945848375,1.2996389891696751,1.9494584837545128,0.3249097472924188,0.6498194945848376,0.0
Aiham Ousou,Cádiz,DF,1.0465116279069768,1.4651162790697674,3.13953488372093,0.2093023255813953,0.8372093023255813,0.0,1.4651162790697674,0.4186046511627906
