Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,xG,npxG,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,PK,PKatt,Ast,KP,xAG,xA,A-xAG,PPA,CrsPA,Touches,Att 3rd_possession,Att Pen,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,PrgDist_possession,CPA,Mis,Dis,PrgR,PrgC_possession,1/3_possession,Cmp,Att_passing,Cmp%,PrgP,Fls,Fld,Recov,Won,Lost_misc,Won%,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1586,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17.0,2005.0,FW,1,0,1,0.0,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2415,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,FW,16,5,619,6.9,1,0,1,14.0,6.0,42.9,2.04,0.87,0.07,0.17,16.8,0.0,1.0,1.0,1.0,1.0,0.07,0.0,0.0,0,0,0,9,0.7,0.6,-0.7,1,0,283,128,31,11,3,27.3,7,63.6,123,7,117,3,26,12,35,7,3,110,190,57.9,10,9.0,7.0,14.0,45.0,31.0,59.2,20.2,2.0,11.0,0.5,6.0,15.0,-9.0,-1.31,5.7,13.5,-7.8,-1.14
835,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21.0,2001.0,FW,28,6,933,9.6,1,0,1,33.0,8.0,24.6,4.36,1.075,0.015,0.065,17.8,0.0,3.0,2.2,3.0,2.2,0.07,-2.0,-1.2,0,1,0,4,0.3,0.5,-0.3,9,1,518,271,60,50,21,46.0,23,48.0,300,57,1587,35,29,31,89,57,34,232,353,63.95,25,9.0,16.0,44.0,23.0,23.0,41.65,13.65,1.0,20.0,1.675,11.0,9.0,2.0,1.43,11.4,12.7,-1.3,-0.13
2202,Abde Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24.0,1998.0,FW,23,6,722,8.0,1,0,1,17.0,4.0,23.5,2.12,0.5,0.06,0.25,19.4,1.0,0.8,0.8,0.8,0.8,0.05,0.2,0.2,0,0,0,18,1.8,1.7,-1.8,6,3,343,198,36,28,10,35.7,16,57.1,180,34,763,18,28,12,78,34,15,124,225,55.1,14,13.0,10.0,31.0,7.0,13.0,35.0,21.1,0.0,17.0,0.7,5.0,6.0,-1.0,-0.12,7.5,6.8,0.7,0.09
2172,Abdellah Raihani,ma MAR,FW,Atlético Madrid,es La Liga,19.0,2004.0,FW,1,0,10,0.1,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,1,0,0,,0,,1,0,0,0,1,0,1,0,0,0,0,,0,0.0,1.0,0.0,0.0,0.0,,0.3,0.0,1.0,0.0,0.0,1.0,-1.0,-9.0,0.1,0.0,0.1,0.61
1274,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29.0,1994.0,FW,23,1,611,6.8,2,0,2,14.0,5.0,35.7,2.06,0.74,0.14,0.4,16.1,1.0,2.1,2.1,2.1,2.1,0.16,-0.1,-0.1,0,0,1,11,1.0,1.1,0.0,10,2,423,204,26,31,10,32.3,14,45.2,346,41,1179,13,17,13,73,41,25,267,336,79.5,31,3.0,35.0,44.0,6.0,6.0,50.0,20.0,0.0,22.0,0.7,8.0,17.0,-9.0,-1.33,10.0,16.0,-6.1,-0.89
755,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30.0,1993.0,FW,32,32,2629,29.2,7,0,7,47.0,21.0,44.7,1.61,0.72,0.15,0.33,12.2,0.0,8.8,8.8,8.8,8.8,0.2,-1.8,-1.8,0,0,1,34,2.9,1.5,-1.9,18,1,1190,495,100,48,25,52.1,21,43.8,635,55,1692,17,61,42,140,55,37,683,893,76.5,97,53.0,8.0,144.0,24.0,40.0,37.5,76.9,17.0,0.0,1.44,33.0,36.0,-3.0,-0.1,40.3,41.8,-1.5,-0.05
2152,Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30.0,1992.0,FW,34,11,1270,14.1,4,0,6,33.0,14.0,42.4,2.34,0.99,0.18,0.43,14.8,2.0,3.2,3.2,3.2,3.2,0.1,2.8,2.8,0,0,1,14,2.4,1.2,-1.4,8,0,376,181,43,18,8,44.4,10,55.6,183,9,285,5,41,10,49,9,9,132,240,55.0,26,18.0,18.0,30.0,39.0,60.0,39.4,37.1,3.0,23.0,1.03,16.0,15.0,1.0,0.07,16.6,15.5,1.1,0.08
2004,Adam Ounas,dz ALG,FW,Lille,fr Ligue 1,26.0,1996.0,FW,17,3,418,4.6,0,0,1,9.0,3.0,33.3,1.94,0.65,0.11,0.33,18.6,1.0,0.6,0.6,0.6,0.6,0.07,0.4,0.4,0,0,0,13,1.9,1.8,-1.9,11,5,253,133,15,25,16,64.0,6,24.0,198,20,616,8,13,16,40,20,12,138,194,71.1,20,3.0,12.0,27.0,6.0,6.0,50.0,13.7,1.0,14.0,1.76,10.0,6.0,4.0,0.86,11.1,6.9,4.2,0.9
331,Adama Bojang,gm GAM,FW,Reims,fr Ligue 1,19.0,2004.0,FW,9,0,83,0.9,1,0,0,4.0,1.0,25.0,4.34,1.08,0.0,0.0,16.9,0.0,1.3,1.3,1.3,1.3,0.32,-1.3,-1.3,0,0,0,1,0.0,0.1,0.0,0,0,42,22,10,1,1,100.0,0,0.0,25,2,56,1,4,1,8,2,1,17,27,63.0,1,4.0,1.0,3.0,1.0,3.0,25.0,2.7,0.0,9.0,0.89,2.0,4.0,-2.0,-2.17,3.8,2.3,1.6,1.72
