Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Blocks,Int,Tkl+Int,Clr,Err,Won,Lost_misc,Won%,Cmp,Att_passing,Cmp%,TotDist,PrgDist,PrgP,PrgP_passing,KP,1/3,PPA,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Carries,PrgC,PrgDist_possession,Ast,xAG,xA,A-xAG,Recov,Fls,Fld,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,Rk_per_90,CrdY_per_90,CrdR_per_90,Tkl_per_90,TklW_per_90,Def 3rd_per_90,Mid 3rd_per_90,Att 3rd_per_90,Tkl%_per_90,Blocks_per_90,Int_per_90,Tkl+Int_per_90,Clr_per_90,Err_per_90,Won_per_90,Lost_misc_per_90,Won%_per_90,Cmp_per_90,Att_passing_per_90,Cmp%_per_90,TotDist_per_90,PrgDist_per_90,PrgP_per_90,PrgP_passing_per_90,KP_per_90,1/3_per_90,PPA_per_90,Touches_per_90,Def Pen_per_90,Def 3rd_possession_per_90,Mid 3rd_possession_per_90,Carries_per_90,PrgC_per_90,PrgDist_possession_per_90,Ast_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Recov_per_90,Fls_per_90,Fld_per_90,Min%_per_90,Compl_per_90,Subs_per_90,PPM_per_90,onG_per_90,onGA_per_90,+/-_per_90,+/-90_per_90
602,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,DF,11,4,436,4.8,1,0,3,2,1,1,1,66.7,5,3,6,7,0,6.0,3.0,66.7,254,308,82.5,4176,1722,26,26,5,15,4,326,18,125,141,169,4,220,0,0.4,0.3,-0.4,18.0,2.0,3.0,12.7,2.0,7.0,1.0,6.0,11.0,-5.0,-1.03,124.26605504587157,0.20642201834862386,0.0,0.6192660550458716,0.41284403669724773,0.20642201834862386,0.20642201834862386,0.20642201834862386,13.768348623853212,1.0321100917431194,0.6192660550458716,1.2385321100917432,1.444954128440367,0.0,1.2385321100917432,0.6192660550458716,13.768348623853212,52.43119266055045,63.57798165137615,17.029816513761467,862.0183486238533,355.4587155963303,5.366972477064221,5.366972477064221,1.0321100917431194,3.096330275229358,0.8256880733944955,67.29357798165137,3.7155963302752295,25.80275229357798,29.105504587155963,34.88532110091743,0.8256880733944955,45.412844036697244,0.0,0.08256880733944955,0.06192660550458715,-0.08256880733944955,3.7155963302752295,0.41284403669724773,0.6192660550458716,2.621559633027523,0.41284403669724773,1.444954128440367,0.20642201834862386,1.2385321100917432,2.2706422018348627,-1.0321100917431194,-0.21261467889908256
1138,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,DF,9,9,713,7.9,5,0,16,9,9,3,4,100.0,7,3,19,10,0,1.0,9.0,10.0,243,277,87.7,3813,894,21,21,1,10,2,356,25,132,155,212,9,505,0,0.1,0.1,-0.1,42.0,10.0,16.0,20.8,2.0,0.0,1.11,10.0,12.0,-2.0,-0.25,143.64656381486677,0.6311360448807855,0.0,2.0196353436185133,1.1360448807854138,1.1360448807854138,0.37868162692847124,0.5049088359046283,12.622720897615707,0.8835904628330995,0.37868162692847124,2.3983169705469845,1.262272089761571,0.0,0.12622720897615708,1.1360448807854138,1.262272089761571,30.673211781206174,34.96493688639551,11.070126227208977,481.30434782608694,112.84712482468443,2.6507713884992987,2.6507713884992987,0.12622720897615708,1.262272089761571,0.25245441795231416,44.93688639551192,3.155680224403927,16.661991584852736,19.565217391304348,26.7601683029453,1.1360448807854138,63.74474053295933,0.0,0.01262272089761571,0.01262272089761571,-0.01262272089761571,5.301542776998597,1.262272089761571,2.0196353436185133,2.6255259467040672,0.25245441795231416,0.0,0.14011220196353438,1.262272089761571,1.514726507713885,-0.25245441795231416,-0.03155680224403927
2741,Aaron Wan-Bissaka,cd COD,DF,Manchester Utd,eng Premier League,25.0,1997.0,DF,22,20,1780,19.8,4,0,42,25,18,20,4,73.1,29,41,83,68,1,21.0,19.0,52.5,823,986,83.5,10824,3539,77,77,12,51,16,1225,85,424,538,594,30,1429,2,1.5,1.4,0.5,94.0,17.0,9.0,52.0,16.0,2.0,1.32,30.0,34.0,-4.0,-0.2,138.58988764044943,0.20224719101123598,0.0,2.1235955056179776,1.2640449438202246,0.9101123595505617,1.0112359550561798,0.20224719101123598,3.696067415730337,1.4662921348314606,2.0730337078651684,4.196629213483146,3.438202247191011,0.050561797752808994,1.0617977528089888,0.9606741573033708,2.654494382022472,41.6123595505618,49.853932584269664,4.22191011235955,547.2808988764045,178.93820224719101,3.893258426966292,3.893258426966292,0.6067415730337079,2.5786516853932584,0.8089887640449439,61.93820224719101,4.297752808988764,21.43820224719101,27.20224719101124,30.03370786516854,1.5168539325842696,72.25280898876404,0.10112359550561799,0.07584269662921349,0.07078651685393259,0.025280898876404497,4.752808988764045,0.8595505617977528,0.45505617977528084,2.6292134831460676,0.8089887640449439,0.10112359550561799,0.06674157303370787,1.5168539325842696,1.7191011235955056,-0.20224719101123598,-0.010112359550561799
1631,Aarón Martín,es ESP,DF,Genoa,it Serie A,26.0,1997.0,DF,22,17,1376,15.3,4,1,21,10,7,10,4,40.9,12,9,30,15,0,8.0,11.0,42.1,431,619,69.6,7748,2727,35,35,26,26,16,703,26,166,288,367,28,972,1,1.7,1.7,-0.7,48.0,23.0,17.0,40.2,7.0,5.0,1.27,22.0,20.0,2.0,0.13,106.67877906976744,0.2616279069767442,0.06540697674418605,1.3735465116279069,0.6540697674418604,0.45784883720930236,0.6540697674418604,0.2616279069767442,2.6751453488372094,0.7848837209302325,0.5886627906976745,1.9622093023255816,0.9811046511627908,0.0,0.5232558139534884,0.7194767441860466,2.7536337209302326,28.190406976744185,40.486918604651166,4.5523255813953485,506.7732558139534,178.36482558139534,2.2892441860465116,2.2892441860465116,1.7005813953488371,1.7005813953488371,1.0465116279069768,45.98110465116279,1.7005813953488371,10.857558139534884,18.837209302325583,24.004360465116278,1.8313953488372094,63.57558139534884,0.06540697674418605,0.11119186046511628,0.11119186046511628,-0.04578488372093023,3.13953488372093,1.504360465116279,1.1119186046511627,2.6293604651162794,0.45784883720930236,0.3270348837209302,0.08306686046511629,1.4389534883720931,1.3081395348837208,0.1308139534883721,0.008502906976744187
2532,Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20.0,2002.0,DF,22,19,1792,19.9,4,0,54,23,30,19,5,72.5,40,26,80,70,2,32.0,21.0,60.4,1111,1266,87.8,19769,6698,72,72,5,52,4,1490,201,717,729,1060,8,3215,0,0.5,0.2,-0.5,124.0,30.0,4.0,58.6,16.0,3.0,1.18,24.0,32.0,-8.0,-0.4,127.16517857142857,0.20089285714285712,0.0,2.7120535714285716,1.1551339285714286,1.5066964285714286,0.9542410714285715,0.25111607142857145,3.641183035714286,2.0089285714285716,1.3058035714285714,4.017857142857143,3.515625,0.10044642857142856,1.607142857142857,1.0546875,3.033482142857143,55.79799107142858,63.582589285714285,4.409598214285714,992.8627232142858,336.3950892857143,3.616071428571429,3.616071428571429,0.25111607142857145,2.611607142857143,0.20089285714285712,74.83258928571429,10.094866071428571,36.010044642857146,36.612723214285715,53.23660714285714,0.40178571428571425,161.46763392857142,0.0,0.02511160714285714,0.010044642857142858,-0.02511160714285714,6.227678571428572,1.5066964285714286,0.20089285714285712,2.943080357142857,0.8035714285714285,0.15066964285714285,0.059263392857142855,1.2053571428571428,1.607142857142857,-0.40178571428571425,-0.020089285714285716
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,DF,27,27,2312,25.7,10,0,35,19,28,5,2,60.0,31,23,58,115,0,39.0,36.0,52.0,553,762,72.6,12370,4872,49,49,3,61,2,1032,191,570,422,492,7,1418,0,0.2,0.2,-0.2,109.0,33.0,23.0,67.6,23.0,0.0,1.07,21.0,30.0,-9.0,-0.35,0.4671280276816609,0.3892733564013841,0.0,1.3624567474048443,0.7396193771626297,1.0899653979238755,0.19463667820069205,0.07785467128027682,2.3356401384083045,1.2067474048442908,0.8953287197231834,2.2577854671280275,4.476643598615917,0.0,1.5181660899653981,1.4013840830449826,2.0242214532871974,21.52681660899654,29.662629757785467,2.826124567474048,481.5311418685121,189.65397923875435,1.9074394463667819,1.9074394463667819,0.11678200692041522,2.3745674740484426,0.07785467128027682,40.17301038062284,7.435121107266436,22.188581314878892,16.42733564013841,19.152249134948097,0.27249134948096887,55.19896193771626,0.0,0.007785467128027683,0.007785467128027683,-0.007785467128027683,4.243079584775087,1.2846020761245676,0.8953287197231834,2.631487889273356,0.8953287197231834,0.0,0.0416522491349481,0.8174740484429066,1.1678200692041523,-0.35034602076124566,-0.013624567474048442
1359,Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,18.0,2005.0,DF,3,3,193,2.1,1,0,7,7,5,2,0,36.4,2,2,9,9,0,0.0,1.0,0.0,53,85,62.4,1041,401,5,5,2,6,1,115,12,55,54,65,3,116,0,0.7,0.0,-0.7,14.0,2.0,4.0,6.3,0.0,0.0,2.33,3.0,1.0,2.0,0.93,633.7305699481865,0.46632124352331605,0.0,3.264248704663212,3.264248704663212,2.33160621761658,0.9326424870466321,0.0,16.974093264248705,0.9326424870466321,0.9326424870466321,4.196891191709844,4.196891191709844,0.0,0.0,0.46632124352331605,0.0,24.71502590673575,39.637305699481864,29.098445595854923,485.440414507772,186.99481865284972,2.33160621761658,2.33160621761658,0.9326424870466321,2.7979274611398965,0.46632124352331605,53.626943005181346,5.595854922279793,25.647668393782386,25.181347150259068,30.31088082901554,1.3989637305699483,54.09326424870466,0.0,0.3264248704663212,0.0,-0.3264248704663212,6.528497409326424,0.9326424870466321,1.8652849740932642,2.9378238341968914,0.0,0.0,1.0865284974093266,1.3989637305699483,0.46632124352331605,0.9326424870466321,0.4336787564766839
1332,Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,19.0,2004.0,DF,11,9,809,9.0,5,0,21,12,13,8,0,52.9,13,13,34,32,2,6.0,5.0,54.5,383,439,87.2,7213,2415,23,23,1,28,1,535,61,275,234,388,5,757,0,0.1,0.2,-0.1,41.0,9.0,7.0,26.4,6.0,2.0,1.45,12.0,10.0,2.0,0.22,148.18294190358466,0.5562422744128553,0.0,2.3362175525339923,1.334981458590853,1.446229913473424,0.8899876390605685,0.0,5.88504326328801,1.446229913473424,1.446229913473424,3.782447466007417,3.559950556242274,0.22249690976514214,0.6674907292954265,0.5562422744128553,6.063040791100123,42.60815822002473,48.838071693448704,9.700865265760198,802.4351050679851,268.66501854140915,2.5587144622991347,2.5587144622991347,0.11124845488257107,3.11495673671199,0.11124845488257107,59.51792336217553,6.786155747836836,30.593325092707044,26.032138442521635,43.16440049443757,0.5562422744128553,84.2150803461063,0.0,0.011124845488257108,0.022249690976514216,-0.011124845488257108,4.561186650185414,1.0012360939431397,0.7787391841779975,2.936959208899876,0.6674907292954265,0.22249690976514214,0.16131025957972805,1.334981458590853,1.1124845488257107,0.22249690976514214,0.024474660074165634
1828,Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,25.0,1998.0,DF,20,19,1694,18.8,5,1,19,10,13,4,2,80.0,27,22,41,82,1,39.0,31.0,55.7,617,773,79.8,12936,4915,38,38,4,34,4,956,127,578,359,492,6,989,0,0.3,0.1,-0.3,79.0,15.0,16.0,49.5,17.0,1.0,1.0,11.0,21.0,-10.0,-0.53,97.11924439197165,0.26564344746162927,0.053128689492325853,1.009445100354191,0.5312868949232585,0.6906729634002361,0.21251475796930341,0.10625737898465171,4.250295159386068,1.4344746162927982,1.168831168831169,2.17827626918536,4.35655253837072,0.053128689492325853,2.072018890200708,1.6469893742621013,2.95926800472255,32.78040141676505,41.06847697756789,4.239669421487603,687.2727272727273,261.1275088547816,2.018890200708382,2.018890200708382,0.21251475796930341,1.806375442739079,0.21251475796930341,50.79102715466352,6.747343565525385,30.708382526564346,19.073199527744983,26.139315230224323,0.3187721369539551,52.544273907910274,0.0,0.015938606847697753,0.005312868949232586,-0.015938606847697753,4.197166469893743,0.7969303423848879,0.8500590318772137,2.6298701298701297,0.9031877213695395,0.053128689492325853,0.053128689492325853,0.5844155844155845,1.115702479338843,-0.5312868949232585,-0.028158205430932705
10,Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,DF,23,15,1400,15.6,3,0,25,19,15,9,1,50.0,23,15,40,62,0,14.0,10.0,58.3,615,797,77.2,9211,4552,33,33,8,20,7,966,72,344,405,447,14,949,1,1.0,1.0,0.0,79.0,16.0,2.0,40.9,12.0,8.0,1.61,20.0,20.0,0.0,0.0,0.6428571428571428,0.19285714285714287,0.0,1.607142857142857,1.2214285714285713,0.9642857142857143,0.5785714285714285,0.06428571428571428,3.214285714285714,1.4785714285714284,0.9642857142857143,2.571428571428571,3.9857142857142853,0.0,0.9,0.6428571428571428,3.7478571428571428,39.535714285714285,51.23571428571429,4.9628571428571435,592.1357142857144,292.62857142857143,2.1214285714285714,2.1214285714285714,0.5142857142857142,1.2857142857142856,0.45,62.099999999999994,4.628571428571428,22.114285714285714,26.03571428571429,28.735714285714284,0.9,61.00714285714285,0.06428571428571428,0.06428571428571428,0.06428571428571428,0.0,5.078571428571428,1.0285714285714285,0.12857142857142856,2.629285714285714,0.7714285714285715,0.5142857142857142,0.1035,1.2857142857142856,1.2857142857142856,0.0,0.0
