Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,xG,npxG,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,PK,PKatt,Ast,KP,xAG,xA,A-xAG,PPA,CrsPA,Touches,Att 3rd_possession,Att Pen,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,PrgDist_possession,CPA,Mis,Dis,PrgR,PrgC_possession,1/3_possession,Cmp,Att_passing,Cmp%,PrgP,Fls,Fld,Recov,Won,Lost_misc,Won%,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_per_90,CrdY_per_90,CrdR_per_90,Gls_per_90,Sh_shooting_per_90,SoT_per_90,SoT%_per_90,Sh/90_per_90,SoT/90_per_90,G/Sh_per_90,G/SoT_per_90,Dist_per_90,FK_shooting_per_90,xG_per_90,npxG_per_90,xG_shooting_per_90,npxG_shooting_per_90,npxG/Sh_per_90,G-xG_per_90,np:G-xG_per_90,PK_per_90,PKatt_per_90,Ast_per_90,KP_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,PPA_per_90,CrsPA_per_90,Touches_per_90,Att 3rd_possession_per_90,Att Pen_per_90,Att_possession_per_90,Succ_per_90,Succ%_per_90,Tkld_per_90,Tkld%_per_90,Carries_per_90,PrgC_per_90,PrgDist_possession_per_90,CPA_per_90,Mis_per_90,Dis_per_90,PrgR_per_90,PrgC_possession_per_90,1/3_possession_per_90,Cmp_per_90,Att_passing_per_90,Cmp%_per_90,PrgP_per_90,Fls_per_90,Fld_per_90,Recov_per_90,Won_per_90,Lost_misc_per_90,Won%_per_90,Min%_per_90,Compl_per_90,Subs_per_90,PPM_per_90,onG_per_90,onGA_per_90,+/-_per_90,+/-90_per_90,onxG_per_90,onxGA_per_90,xG+/-_per_90,xG+/-90_per_90
2415,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,FW,16,5,619,6.9,1,0,1,14.0,6.0,42.9,2.04,0.87,0.07,0.17,16.8,0.0,1.0,1.0,1.0,1.0,0.07,0.0,0.0,0,0,0,9,0.7,0.6,-0.7,1,0,283,128,31,11,3,27.3,7,63.6,123,7,117,3,26,12,35,7,3,110,190,57.9,10,9.0,7.0,14.0,45.0,31.0,59.2,20.2,2.0,11.0,0.5,6.0,15.0,-9.0,-1.31,5.7,13.5,-7.8,-1.14,351.13085621970924,0.14539579967689822,0.0,0.14539579967689822,2.035541195476575,0.8723747980613893,6.237479806138934,0.29660743134087236,0.12649434571890145,0.010177705977382876,0.0247172859450727,2.4426494345718903,0.0,0.14539579967689822,0.14539579967689822,0.14539579967689822,0.14539579967689822,0.010177705977382876,0.0,0.0,0.0,0.0,0.0,1.308562197092084,0.10177705977382874,0.08723747980613893,-0.10177705977382874,0.14539579967689822,0.0,41.14701130856219,18.610662358642973,4.507269789983845,1.5993537964458806,0.43618739903069464,3.969305331179322,1.0177705977382876,9.247172859450727,17.88368336025848,1.0177705977382876,17.011308562197094,0.43618739903069464,3.780290791599354,1.7447495961227786,5.088852988691438,1.0177705977382876,0.43618739903069464,15.993537964458804,27.62520193861066,8.418416801292407,1.4539579967689822,1.308562197092084,1.0177705977382876,2.035541195476575,6.54281098546042,4.507269789983845,8.607431340872376,2.936995153473344,0.29079159935379645,1.5993537964458806,0.07269789983844911,0.8723747980613893,2.1809369951534734,-1.308562197092084,-0.19046849757673667,0.8287560581583199,1.962843295638126,-1.134087237479806,-0.16575121163166395
835,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21.0,2001.0,FW,28,6,933,9.6,1,0,1,33.0,8.0,24.6,4.36,1.075,0.015,0.065,17.8,0.0,3.0,2.2,3.0,2.2,0.07,-2.0,-1.2,0,1,0,4,0.3,0.5,-0.3,9,1,518,271,60,50,21,46.0,23,48.0,300,57,1587,35,29,31,89,57,34,232,353,63.95,25,9.0,16.0,44.0,23.0,23.0,41.65,13.65,1.0,20.0,1.675,11.0,9.0,2.0,1.43,11.4,12.7,-1.3,-0.13,80.54662379421222,0.09646302250803858,0.0,0.09646302250803858,3.1832797427652735,0.7717041800643086,2.3729903536977495,0.42057877813504824,0.10369774919614147,0.0014469453376205787,0.0062700964630225085,1.7170418006430868,0.0,0.28938906752411575,0.2122186495176849,0.28938906752411575,0.2122186495176849,0.0067524115755627015,-0.19292604501607716,-0.11575562700964631,0.0,0.09646302250803858,0.0,0.3858520900321543,0.028938906752411578,0.04823151125401929,-0.028938906752411578,0.8681672025723474,0.09646302250803858,49.96784565916399,26.141479099678456,5.787781350482315,4.823151125401929,2.0257234726688105,4.437299035369775,2.2186495176848875,4.630225080385852,28.938906752411576,5.498392282958199,153.08681672025725,3.3762057877813505,2.797427652733119,2.990353697749196,8.585209003215434,5.498392282958199,3.279742765273312,22.379421221864952,34.05144694533762,6.168810289389067,2.4115755627009645,0.8681672025723474,1.5434083601286173,4.244372990353698,2.2186495176848875,2.2186495176848875,4.017684887459807,1.3167202572347267,0.09646302250803858,1.9292604501607717,0.16157556270096463,1.0610932475884245,0.8681672025723474,0.19292604501607716,0.13794212218649518,1.09967845659164,1.2250803858520898,-0.12540192926045016,-0.012540192926045017
2202,Abde Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24.0,1998.0,FW,23,6,722,8.0,1,0,1,17.0,4.0,23.5,2.12,0.5,0.06,0.25,19.4,1.0,0.8,0.8,0.8,0.8,0.05,0.2,0.2,0,0,0,18,1.8,1.7,-1.8,6,3,343,198,36,28,10,35.7,16,57.1,180,34,763,18,28,12,78,34,15,124,225,55.1,14,13.0,10.0,31.0,7.0,13.0,35.0,21.1,0.0,17.0,0.7,5.0,6.0,-1.0,-0.12,7.5,6.8,0.7,0.09,274.4875346260388,0.12465373961218837,0.0,0.12465373961218837,2.119113573407202,0.4986149584487535,2.9293628808864267,0.2642659279778394,0.062326869806094184,0.007479224376731301,0.031163434903047092,2.418282548476454,0.12465373961218837,0.0997229916897507,0.0997229916897507,0.0997229916897507,0.0997229916897507,0.006232686980609419,0.024930747922437674,0.024930747922437674,0.0,0.0,0.0,2.243767313019391,0.22437673130193905,0.2119113573407202,-0.22437673130193905,0.7479224376731303,0.37396121883656513,42.75623268698061,24.681440443213294,4.487534626038782,3.490304709141274,1.2465373961218835,4.450138504155125,1.994459833795014,7.117728531855956,22.437673130193907,4.238227146814404,95.11080332409972,2.243767313019391,3.490304709141274,1.4958448753462605,9.722991689750693,4.238227146814404,1.8698060941828254,15.457063711911356,28.047091412742382,6.868421052631579,1.745152354570637,1.6204986149584488,1.2465373961218835,3.864265927977839,0.8725761772853186,1.6204986149584488,4.362880886426593,2.630193905817175,0.0,2.119113573407202,0.08725761772853184,0.6232686980609418,0.7479224376731303,-0.12465373961218837,-0.014958448753462602,0.9349030470914127,0.8476454293628808,0.08725761772853184,0.011218836565096951
1274,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29.0,1994.0,FW,23,1,611,6.8,2,0,2,14.0,5.0,35.7,2.06,0.74,0.14,0.4,16.1,1.0,2.1,2.1,2.1,2.1,0.16,-0.1,-0.1,0,0,1,11,1.0,1.1,0.0,10,2,423,204,26,31,10,32.3,14,45.2,346,41,1179,13,17,13,73,41,25,267,336,79.5,31,3.0,35.0,44.0,6.0,6.0,50.0,20.0,0.0,22.0,0.7,8.0,17.0,-9.0,-1.33,10.0,16.0,-6.1,-0.89,187.6595744680851,0.2945990180032733,0.0,0.2945990180032733,2.062193126022913,0.7364975450081833,5.25859247135843,0.30343698854337153,0.10900163666121113,0.020621931260229136,0.05891980360065467,2.3715220949263505,0.14729950900163666,0.30932896890343703,0.30932896890343703,0.30932896890343703,0.30932896890343703,0.023567921440261867,-0.014729950900163668,-0.014729950900163668,0.0,0.0,0.14729950900163666,1.6202945990180033,0.14729950900163666,0.16202945990180034,0.0,1.4729950900163666,0.2945990180032733,62.30769230769231,30.04909983633388,3.829787234042553,4.566284779050736,1.4729950900163666,4.757774140752864,2.062193126022913,6.657937806873977,50.96563011456628,6.039279869067103,173.66612111292963,1.9148936170212765,2.504091653027823,1.9148936170212765,10.752864157119475,6.039279869067103,3.6824877250409167,39.32896890343699,49.49263502454991,11.710310965630114,4.566284779050736,0.44189852700491,5.155482815057283,6.481178396072013,0.88379705400982,0.88379705400982,7.364975450081833,2.9459901800327333,0.0,3.2405891980360066,0.10310965630114566,1.1783960720130933,2.504091653027823,-1.32569558101473,-0.19590834697217677,1.4729950900163666,2.3567921440261865,-0.8985270049099835,-0.13109656301145664
755,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30.0,1993.0,FW,32,32,2629,29.2,7,0,7,47.0,21.0,44.7,1.61,0.72,0.15,0.33,12.2,0.0,8.8,8.8,8.8,8.8,0.2,-1.8,-1.8,0,0,1,34,2.9,1.5,-1.9,18,1,1190,495,100,48,25,52.1,21,43.8,635,55,1692,17,61,42,140,55,37,683,893,76.5,97,53.0,8.0,144.0,24.0,40.0,37.5,76.9,17.0,0.0,1.44,33.0,36.0,-3.0,-0.1,40.3,41.8,-1.5,-0.05,25.846329402814757,0.23963484214530237,0.0,0.23963484214530237,1.608976797261316,0.7189045264359072,1.5302396348421454,0.055116013693419556,0.024648155192088246,0.005135032331685051,0.011297071129707114,0.41764929631038417,0.0,0.301255230125523,0.301255230125523,0.301255230125523,0.301255230125523,0.006846709775580069,-0.06162038798022061,-0.06162038798022061,0.0,0.0,0.034233548877900345,1.1639406618486117,0.09927729174591099,0.051350323316850514,-0.06504374286801065,0.6162038798022061,0.034233548877900345,40.73792316470141,16.94560669456067,3.423354887790034,1.6432103461392165,0.8558387219475085,1.783567896538608,0.7189045264359072,1.4994294408520348,21.738303537466717,1.8828451882845187,57.92316470140738,0.5819703309243058,2.088246481551921,1.4378090528718144,4.792696842906048,1.8828451882845187,1.2666413084823125,23.381513883605933,30.570559147965003,2.6188664891593763,3.3206542411563333,1.8143780905287181,0.27386839102320276,4.929631038417649,0.8216051730696082,1.3693419551160135,1.283758082921263,2.6325599087105367,0.5819703309243058,0.0,0.04929631038417649,1.1297071129707112,1.2324077596044123,-0.10270064663370103,-0.0034233548877900346,1.3796120197793837,1.4309623430962342,-0.051350323316850514,-0.0017116774438950173
2152,Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30.0,1992.0,FW,34,11,1270,14.1,4,0,6,33.0,14.0,42.4,2.34,0.99,0.18,0.43,14.8,2.0,3.2,3.2,3.2,3.2,0.1,2.8,2.8,0,0,1,14,2.4,1.2,-1.4,8,0,376,181,43,18,8,44.4,10,55.6,183,9,285,5,41,10,49,9,9,132,240,55.0,26,18.0,18.0,30.0,39.0,60.0,39.4,37.1,3.0,23.0,1.03,16.0,15.0,1.0,0.07,16.6,15.5,1.1,0.08,152.50393700787401,0.28346456692913385,0.0,0.4251968503937008,2.338582677165354,0.9921259842519685,3.004724409448819,0.1658267716535433,0.07015748031496062,0.012755905511811022,0.030472440944881888,1.0488188976377955,0.14173228346456693,0.2267716535433071,0.2267716535433071,0.2267716535433071,0.2267716535433071,0.007086614173228347,0.1984251968503937,0.1984251968503937,0.0,0.0,0.07086614173228346,0.9921259842519685,0.1700787401574803,0.08503937007874016,-0.09921259842519685,0.5669291338582677,0.0,26.64566929133858,12.826771653543306,3.047244094488189,1.2755905511811023,0.5669291338582677,3.1464566929133855,0.7086614173228346,3.940157480314961,12.968503937007874,0.6377952755905512,20.196850393700785,0.3543307086614173,2.905511811023622,0.7086614173228346,3.47244094488189,0.6377952755905512,0.6377952755905512,9.354330708661417,17.00787401574803,3.8976377952755903,1.8425196850393701,1.2755905511811023,1.2755905511811023,2.1259842519685037,2.763779527559055,4.251968503937007,2.7921259842519683,2.629133858267717,0.2125984251968504,1.6299212598425197,0.07299212598425198,1.1338582677165354,1.0629921259842519,0.07086614173228346,0.004960629921259843,1.1763779527559055,1.0984251968503937,0.07795275590551182,0.005669291338582677
2004,Adam Ounas,dz ALG,FW,Lille,fr Ligue 1,26.0,1996.0,FW,17,3,418,4.6,0,0,1,9.0,3.0,33.3,1.94,0.65,0.11,0.33,18.6,1.0,0.6,0.6,0.6,0.6,0.07,0.4,0.4,0,0,0,13,1.9,1.8,-1.9,11,5,253,133,15,25,16,64.0,6,24.0,198,20,616,8,13,16,40,20,12,138,194,71.1,20,3.0,12.0,27.0,6.0,6.0,50.0,13.7,1.0,14.0,1.76,10.0,6.0,4.0,0.86,11.1,6.9,4.2,0.9,431.4832535885168,0.0,0.0,0.21531100478468898,1.937799043062201,0.645933014354067,7.169856459330143,0.41770334928229663,0.13995215311004786,0.02368421052631579,0.07105263157894738,4.0047846889952154,0.21531100478468898,0.1291866028708134,0.1291866028708134,0.1291866028708134,0.1291866028708134,0.015071770334928231,0.0861244019138756,0.0861244019138756,0.0,0.0,0.0,2.799043062200957,0.40909090909090906,0.38755980861244016,-0.40909090909090906,2.3684210526315788,1.076555023923445,54.473684210526315,28.636363636363637,3.229665071770335,5.382775119617225,3.4449760765550237,13.779904306220095,1.291866028708134,5.167464114832536,42.63157894736842,4.30622009569378,132.6315789473684,1.7224880382775118,2.799043062200957,3.4449760765550237,8.61244019138756,4.30622009569378,2.583732057416268,29.71291866028708,41.770334928229666,15.308612440191387,4.30622009569378,0.645933014354067,2.583732057416268,5.813397129186603,1.291866028708134,1.291866028708134,10.76555023923445,2.949760765550239,0.21531100478468898,3.014354066985646,0.37894736842105264,2.15311004784689,1.291866028708134,0.8612440191387559,0.18516746411483254,2.389952153110048,1.485645933014354,0.9043062200956937,0.19377990430622008
2622,Adama Traoré,es ESP,"FW,MF",Fulham,eng Premier League,27.0,1996.0,FW,17,1,377,4.2,2,0,2,11.0,7.0,63.6,2.63,1.67,0.18,0.29,16.0,0.0,1.5,1.5,1.5,1.5,0.14,0.5,0.5,0,0,3,7,0.7,0.9,2.3,9,4,194,118,24,17,9,52.9,6,35.3,134,29,676,13,13,9,48,29,13,97,139,69.8,16,5.0,4.0,13.0,9.0,6.0,60.0,11.0,0.0,16.0,1.06,11.0,13.0,-2.0,-0.48,6.8,11.9,-5.1,-1.21,625.9416445623342,0.47745358090185674,0.0,0.47745358090185674,2.6259946949602124,1.6710875331564987,15.183023872679046,0.6278514588859416,0.3986737400530504,0.04297082228116711,0.06923076923076923,3.819628647214854,0.0,0.35809018567639256,0.35809018567639256,0.35809018567639256,0.35809018567639256,0.033421750663129975,0.11936339522546419,0.11936339522546419,0.0,0.0,0.7161803713527851,1.6710875331564987,0.16710875331564984,0.21485411140583557,0.5490716180371352,2.1485411140583555,0.9549071618037135,46.312997347480106,28.16976127320955,5.729442970822281,4.058355437665782,2.1485411140583555,12.62864721485411,1.4323607427055702,8.427055702917771,31.9893899204244,6.923076923076923,161.3793103448276,3.103448275862069,3.103448275862069,2.1485411140583555,11.458885941644562,6.923076923076923,3.103448275862069,23.156498673740053,33.183023872679044,16.6631299734748,3.819628647214854,1.193633952254642,0.9549071618037135,3.103448275862069,2.1485411140583555,1.4323607427055702,14.323607427055702,2.6259946949602124,0.0,3.819628647214854,0.25305039787798406,2.6259946949602124,3.103448275862069,-0.47745358090185674,-0.11458885941644562,1.623342175066313,2.840848806366048,-1.2175066312997347,-0.2888594164456233
1502,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25.0,1997.0,FW,31,22,1894,21.0,4,0,11,67.0,24.0,35.8,3.18,1.14,0.16,0.46,14.3,0.0,9.1,9.1,9.1,9.1,0.14,1.9,1.9,0,0,7,50,5.2,4.8,1.8,32,2,1109,607,129,87,39,44.8,37,42.5,699,72,1972,35,66,42,222,72,42,635,838,75.8,97,28.0,34.0,89.0,18.0,21.0,46.2,55.4,4.0,9.0,1.61,33.0,26.0,7.0,0.33,27.6,21.1,6.5,0.31,71.3727560718057,0.1900739176346357,0.0,0.5227032734952481,3.183738120380148,1.1404435058078142,1.7011615628299892,0.1511087645195354,0.05417106652587116,0.007602956705385427,0.021858500527983105,0.6795142555438226,0.0,0.43241816261879623,0.43241816261879623,0.43241816261879623,0.43241816261879623,0.006652587117212249,0.09028511087645195,0.09028511087645195,0.0,0.0,0.33262935586061243,2.375923970432946,0.24709609292502638,0.2280887011615628,0.08553326293558607,1.5205913410770855,0.09503695881731784,52.69799366420274,28.843717001055964,6.129883843717002,4.134107708553326,1.853220696937698,2.1288278775079195,1.7581837381203802,2.0195353748680045,33.21541710665259,3.4213305174234425,93.7064413938754,1.6631467793030623,3.136219640971489,1.995776135163675,10.54910242872228,3.4213305174234425,1.995776135163675,30.17423442449842,39.82048574445618,3.6019007391763465,4.609292502639915,1.3305174234424497,1.6156282998944034,4.229144667370644,0.8553326293558606,0.9978880675818375,2.1953537486800423,2.6325237592397044,0.1900739176346357,0.4276663146779303,0.07650475184794087,1.5681098204857444,1.2354804646251318,0.33262935586061243,0.015681098204857444,1.3115100316789863,1.0026399155227035,0.30887011615628296,0.014730728616684265
1219,Adnan Januzaj,be BEL,"FW,MF",Sevilla,es La Liga,28.0,1995.0,FW,8,0,193,2.1,0,0,0,6.0,1.0,16.7,2.8,0.47,0.0,0.0,16.8,0.0,0.6,0.6,0.6,0.6,0.1,-0.6,-0.6,0,0,0,2,0.0,0.2,0.0,1,1,119,57,5,11,5,45.5,4,36.4,79,1,156,0,10,1,17,1,3,70,88,79.5,9,3.0,9.0,9.0,3.0,1.0,75.0,5.6,0.0,8.0,0.75,1.0,3.0,-2.0,-0.93,1.8,3.9,-2.1,-1.0,568.4455958549223,0.0,0.0,0.0,2.7979274611398965,0.46632124352331605,7.7875647668393775,1.3056994818652847,0.2191709844559585,0.0,0.0,7.83419689119171,0.0,0.27979274611398963,0.27979274611398963,0.27979274611398963,0.27979274611398963,0.046632124352331605,-0.27979274611398963,-0.27979274611398963,0.0,0.0,0.0,0.9326424870466321,0.0,0.09326424870466321,0.0,0.46632124352331605,0.46632124352331605,55.49222797927461,26.580310880829014,2.33160621761658,5.129533678756477,2.33160621761658,21.21761658031088,1.8652849740932642,16.974093264248705,36.83937823834197,0.46632124352331605,72.74611398963731,0.0,4.66321243523316,0.46632124352331605,7.927461139896373,0.46632124352331605,1.3989637305699483,32.64248704663213,41.03626943005182,37.07253886010363,4.196891191709844,1.3989637305699483,4.196891191709844,4.196891191709844,1.3989637305699483,0.46632124352331605,34.9740932642487,2.6113989637305695,0.0,3.7305699481865284,0.34974093264248707,0.46632124352331605,1.3989637305699483,-0.9326424870466321,-0.4336787564766839,0.839378238341969,1.8186528497409327,-0.9792746113989638,-0.46632124352331605
