Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Rk_per_90,GA_per_90,GA90_per_90,SoTA_per_90,Saves_per_90,Save%_per_90,W_per_90,D_per_90,L_per_90,CS_per_90,CS%_per_90,PKatt_per_90,PKA_per_90,PKsv_per_90,PKm_per_90,Save%.1_per_90,FK_per_90,CK_per_90,OG_per_90,PSxG_per_90,PSxG/SoT_per_90,PSxG+/-_per_90,/90_per_90,Cmp_per_90,Att_per_90,Cmp%_per_90,Att (GK)_per_90,Thr_per_90,Launch%_per_90,AvgLen_per_90,Att.1_per_90,Launch%.1_per_90,AvgLen.1_per_90,Opp_per_90,Stp_per_90,Stp%_per_90,#OPA_per_90,#OPA/90_per_90,AvgDist_per_90
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3,0.37815126050420167,1.5126050420168067,0.5710084033613446,4.53781512605042,3.0252100840336134,25.222689075630253,0.37815126050420167,0.0,0.37815126050420167,0.7563025210084033,37.81512605042017,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9075630252100839,0.07563025210084034,-0.6050420168067228,-0.230672268907563,6.80672268907563,18.52941176470588,13.878151260504202,29.495798319327733,7.563025210084034,13.57563025210084,12.252100840336134,8.319327731092438,36.11344537815126,24.390756302521005,15.504201680672269,0.7563025210084033,1.8529411764705885,1.134453781512605,0.4273109243697479,5.7857142857142865
2,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28,28,2520,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7,0.07142857142857142,1.0714285714285714,0.03821428571428572,3.892857142857143,2.8571428571428568,2.621428571428572,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.0214285714285716,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.03571428571428571,1.0250000000000001,0.009285714285714286,-0.010714285714285714,-0.00035714285714285714,2.142857142857143,6.5357142857142865,1.1714285714285715,36.464285714285715,5.0,0.5035714285714286,0.8821428571428571,4.142857142857143,1.2000000000000002,1.1892857142857143,10.678571428571429,0.4642857142857143,0.15357142857142855,1.1785714285714286,0.04214285714285714,0.6321428571428571
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9,0.10003705075954057,1.7673212300852168,0.05902185994812893,6.268988514264542,4.535012967765839,2.4842534271952577,0.36680251945164877,0.30011115227862173,0.36680251945164877,0.1333827343460541,0.43015931826602444,0.2334197851055947,0.16672841793256762,0.06669136717302705,0.0,0.9536865505742868,0.0,0.10003705075954057,0.10003705075954057,1.7373101148573546,0.008002964060763246,0.0700259355316784,0.0023341978510559467,5.335309373842164,14.338643942200816,1.2404594294183031,21.441274546128195,4.801778436457948,1.4638755094479434,1.2271211559836974,7.302704705446462,2.2541682104483143,1.5772508336420896,15.60577991848833,0.9003334568358652,0.1934049648017784,0.2334197851055947,0.0076695072248981104,0.29677658391997036
5,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,14,13,1198,13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,,0,0,1,10.0,0.28,2.0,0.15,34,92,37.0,386,57,19.2,27.0,70,25.7,30.6,157,6,3.8,10,0.75,14.7,0.3756260434056761,0.6761268781302171,0.051085141903171954,2.8547579298831383,2.2537562604340566,5.732053422370617,0.7512520868113522,0.15025041736227046,0.07512520868113523,0.6010016694490818,4.620200333889817,0.0,0.0,0.0,0.0,,0.0,0.0,0.07512520868113523,0.7512520868113522,0.021035058430717866,0.15025041736227046,0.011268781302170284,2.5542570951585977,6.911519198664441,2.7796327212020033,28.998330550918197,4.282136894824707,1.4424040066777963,2.028380634390651,5.258764607679466,1.9307178631051751,2.298831385642738,11.79465776293823,0.4507512520868113,0.2854757929883138,0.7512520868113522,0.056343906510851416,1.1043405676126878
6,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,1,5,1,50.0,0.3,-7.0,-0.21,193,568,34.0,1148,160,35.4,34.2,241,67.2,50.7,485,31,6.4,30,0.88,13.6,0.1764705882352941,1.7058823529411764,0.05029411764705882,4.647058823529411,2.9117647058823533,1.9176470588235293,0.32352941176470584,0.2647058823529412,0.411764705882353,0.29411764705882354,0.8647058823529411,0.14705882352941177,0.08823529411764705,0.058823529411764705,0.0,1.1764705882352942,0.029411764705882353,0.14705882352941177,0.029411764705882353,1.4705882352941178,0.008823529411764706,-0.2058823529411765,-0.006176470588235294,5.6764705882352935,16.705882352941178,1.0,33.76470588235294,4.705882352941177,1.0411764705882351,1.0058823529411764,7.088235294117647,1.9764705882352942,1.4911764705882355,14.26470588235294,0.911764705882353,0.18823529411764708,0.8823529411764706,0.02588235294117647,0.4
7,Emil Audero,id IDN,GK,Inter,it Serie A,26,1997,4,4,337,3.7,3,0.8,11,8,72.7,2,1,1,2,50.0,0,0,0,0,,0,0,0,3.1,0.28,0.1,0.02,6,24,25.0,177,28,11.9,24.6,18,16.7,27.2,54,6,11.1,2,0.53,10.2,1.8694362017804154,0.8011869436201781,0.2136498516320475,2.937685459940653,2.136498516320475,19.415430267062316,0.5341246290801187,0.26706231454005935,0.26706231454005935,0.5341246290801187,13.353115727002967,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.827893175074184,0.07477744807121663,0.026706231454005937,0.005341246290801187,1.6023738872403561,6.4094955489614245,6.6765578635014835,47.27002967359051,7.4777448071216615,3.178041543026706,6.56973293768546,4.807121661721068,4.459940652818991,7.264094955489614,14.421364985163205,1.6023738872403561,2.9643916913946584,0.5341246290801187,0.14154302670623148,2.724035608308605
9,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17,17,1530,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2,0.5294117647058824,1.647058823529412,0.09705882352941175,5.0588235294117645,3.411764705882353,3.9647058823529417,0.1764705882352941,0.23529411764705882,0.5882352941176471,0.1764705882352941,1.035294117647059,0.0,0.0,0.0,0.0,,0.0,0.3529411764705882,0.0,1.3294117647058825,0.015882352941176472,-0.31764705882352945,-0.018823529411764708,7.470588235294118,20.823529411764707,2.1117647058823525,33.294117647058826,4.588235294117647,2.6941176470588233,2.3176470588235296,7.1764705882352935,4.58235294117647,3.288235294117647,16.176470588235293,1.3529411764705883,0.49411764705882355,1.0588235294117647,0.06235294117647059,0.8352941176470587
10,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.5,11.3,2.5,0.75,0.1875,4.25,3.5,20.6,0.0,0.5,0.5,0.25,6.25,0.0,0.0,0.0,0.0,,0.25,0.0,0.0,0.6,0.0375,-0.15,-0.0375,4.5,14.500000000000002,7.75,33.0,3.5,9.65,8.675,5.25,8.325,8.7,9.5,1.0,2.625,0.5,0.125,2.825
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1159,165,33.7,32.7,249,55.4,44.9,545,31,5.7,73,2.15,16.7,0.32352941176470584,1.9411764705882353,0.057058823529411766,6.205882352941177,4.205882352941177,2.0500000000000003,0.38235294117647056,0.2058823529411765,0.411764705882353,0.058823529411764705,0.1735294117647059,0.14705882352941177,0.058823529411764705,0.08823529411764705,0.0,1.7647058823529411,0.08823529411764705,0.2647058823529412,0.029411764705882353,2.0176470588235293,0.009117647058823529,0.10588235294117648,0.003235294117647059,6.117647058823529,15.558823529411764,1.1558823529411764,34.088235294117645,4.852941176470589,0.9911764705882354,0.961764705882353,7.3235294117647065,1.6294117647058823,1.3205882352941176,16.029411764705884,0.911764705882353,0.16764705882352943,2.1470588235294117,0.06323529411764706,0.4911764705882353
12,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0,0,1,1,19.9,0.25,-5.1,-0.34,56,183,30.6,440,57,36.4,34.4,61,37.7,36.0,203,19,9.4,21,1.4,13.4,0.8,1.7333333333333334,0.11533333333333334,4.2,2.466666666666667,4.233333333333333,0.26666666666666666,0.13333333333333333,0.6000000000000001,0.13333333333333333,0.8866666666666667,0.26666666666666666,0.2,0.06666666666666667,0.0,1.6666666666666665,0.0,0.06666666666666667,0.06666666666666667,1.3266666666666667,0.016666666666666666,-0.33999999999999997,-0.022666666666666665,3.7333333333333334,12.200000000000001,2.04,29.333333333333336,3.8000000000000003,2.4266666666666667,2.293333333333333,4.066666666666666,2.5133333333333336,2.4000000000000004,13.533333333333333,1.2666666666666666,0.6266666666666667,1.4,0.09333333333333334,0.8933333333333334
