Player,Squad,Age,MainPos,Min,90s,NP_Gls_per90,npxG_per90,Shots_per90,Shot_OnTarget_pct,Conv_rate,xG_per_shot_np,Finishing_vs_xG_np_per90,xGxA_per90,GA_per90,KeyPasses_per90,PPA_per90,PrgPass_per90,PrgCarries_per90,Touches_Att3rd_per90,Touches_Box_per90,Dribble_Success_pct,Dribble_Att_per90,Fouls_Drawn_per90,Recoveries_per90,Aerial_Win_pct,OnField_xGD_per90,Availability_Min_pct
Aaron Seydel,Darmstadt 98,27.0,FW,619,6.9,0.14492753623188406,0.14492753623188406,2.04,42.9,0.07,0.07,0.0,0.2318840579710145,0.14492753623188406,1.308562197092084,0.1453957996768982,1.4539579967689822,1.0177705977382876,18.610662358642973,4.507269789983845,27.3,1.5993537964458806,1.0177705977382876,2.035541195476575,59.2,-1.14,20.2
Abde Ezzalzouli,Betis,21.0,FW,933,9.6,0.10416666666666667,0.22916666666666669,4.36,24.6,0.015,0.07,-0.12500000000000003,0.36458333333333337,0.10416666666666667,0.3858520900321543,0.8681672025723474,2.4115755627009645,5.498392282958199,26.141479099678456,5.787781350482315,46.0,4.823151125401929,1.5434083601286173,4.244372990353698,41.65,-0.13,13.65
Abde Rebbach,Alavés,24.0,FW,722,8.0,0.125,0.1,2.12,23.5,0.06,0.05,0.024999999999999994,0.3125,0.125,2.243767313019391,0.7479224376731303,1.745152354570637,4.238227146814404,24.681440443213297,4.487534626038782,35.7,3.490304709141274,1.2465373961218835,3.864265927977839,35.0,0.09,21.1
Abdoul Kader Bamba,Nantes,29.0,FW,611,6.8,0.29411764705882354,0.3088235294117647,2.06,35.7,0.14,0.16,-0.01470588235294119,0.4705882352941177,0.4411764705882353,1.620294599018003,1.4729950900163666,4.566284779050736,6.039279869067103,30.04909983633388,3.829787234042553,32.3,4.566284779050736,5.155482815057283,6.481178396072013,50.0,-0.89,20.0
Abdoulaye Doucouré,Everton,30.0,FW,2629,29.2,0.2397260273972603,0.30136986301369867,1.61,44.7,0.15,0.2,-0.06164383561643838,0.3527397260273973,0.273972602739726,1.1639406618486117,0.6162038798022061,3.3206542411563333,1.8828451882845187,16.94560669456067,3.423354887790034,52.1,1.6432103461392165,0.2738683910232027,4.929631038417649,37.5,-0.05,76.9
Abdón Prats,Mallorca,30.0,FW,1270,14.1,0.425531914893617,0.2269503546099291,2.34,42.4,0.18,0.1,0.19858156028368792,0.3120567375886525,0.49645390070921985,0.9921259842519684,0.5669291338582677,1.84251968503937,0.6377952755905512,12.826771653543306,3.047244094488189,44.4,1.2755905511811023,1.2755905511811023,2.1259842519685037,39.4,0.08,37.1
Adam Ounas,Lille,26.0,FW,418,4.6,0.2173913043478261,0.13043478260869565,1.94,33.3,0.11,0.07,0.08695652173913045,0.5217391304347826,0.2173913043478261,2.799043062200957,2.3684210526315788,4.30622009569378,4.30622009569378,28.636363636363637,3.229665071770335,64.0,5.382775119617225,2.583732057416268,5.813397129186603,50.0,0.9,13.7
Adama Traoré,Fulham,27.0,FW,377,4.2,0.47619047619047616,0.35714285714285715,2.63,63.6,0.18,0.14,0.11904761904761904,0.5714285714285714,1.1904761904761905,1.6710875331564987,2.1485411140583555,3.819628647214854,6.923076923076923,28.16976127320955,5.729442970822281,52.9,4.058355437665782,0.9549071618037136,3.103448275862069,60.0,-1.21,11.0
Ademola Lookman,Atalanta,25.0,FW,1894,21.0,0.5238095238095238,0.4333333333333333,3.18,35.8,0.16,0.14,0.09047619047619049,0.6619047619047619,0.8571428571428571,2.375923970432946,1.5205913410770855,4.609292502639915,3.4213305174234425,28.843717001055964,6.129883843717002,44.8,4.134107708553326,1.6156282998944034,4.229144667370644,46.2,0.31,55.4
Adnan Januzaj,Sevilla,28.0,FW,193,2.1,0.0,0.2857142857142857,2.8,16.7,0.0,0.1,-0.2857142857142857,0.38095238095238093,0.0,0.932642487046632,0.466321243523316,4.196891191709844,0.466321243523316,26.580310880829018,2.33160621761658,45.5,5.129533678756477,4.196891191709844,4.196891191709844,75.0,-1.0,5.6
Adri Embarba,Almería,31.0,FW,2476,27.5,0.07272727272727272,0.12727272727272726,2.29,38.1,0.03,0.06,-0.05454545454545454,0.2872727272727273,0.18181818181818182,1.890145395799677,0.908723747980614,2.108239095315024,3.4168012924071083,23.008885298869146,2.362681744749596,38.7,4.325525040387722,1.4539579967689822,5.125201938610663,36.8,-0.4,72.4
Adu Ares,Athletic Club,21.0,FW,265,2.9,0.0,0.034482758620689655,1.36,0.0,0.0,0.03,-0.034482758620689655,0.06896551724137931,0.0,0.3396226415094339,0.0,1.018867924528302,4.415094339622642,23.77358490566038,2.037735849056604,62.5,8.150943396226415,4.0754716981132075,5.09433962264151,25.0,-0.44,7.7
Akor Adams,Montpellier,23.0,FW,2252,25.0,0.32,0.496,3.16,40.5,0.1,0.16,-0.17600000000000002,0.552,0.36,0.6793960923623446,0.1598579040852575,0.6793960923623446,1.5985790408525753,12.908525754884549,4.715808170515098,31.8,1.7584369449378332,0.8792184724689166,2.1980461811722916,43.9,-0.11,73.6
Alan Virginius,Lille,20.0,FW,1005,0.8,0.0,0.0,0.48,60.0,0.0,0.13,0.0,0.0,2.5,0.0895522388059701,0.0,0.1791044776119403,0.0895522388059701,0.8059701492537313,0.1791044776119403,50.0,0.3582089552238806,0.0,0.1791044776119403,10.55,-0.32,16.4
